==================================================
PÁGINA: 1.INCOME STATEMENT
==================================================
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CellImage,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Outlooks updates on LOM,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2026-02-05,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,,,,,,,,,,,,,,
,"Income Statement (millons ,excepto EPS)",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sales,377.11,404.4,609.56,641.4,569.8,520,606.9,950.5,1300,1521,1779.57,2082.0969,2436.0533729999997,,,,,,,,,,,,,,
,Flujo de caja libre,-10.462,59.761,259.83400000000006,226.02700000000002,155.234,229.17000000000002,281.90000000000003,459.583,637.2864679999999,711.6604824,947.779785608,1166.90156336136,1326.706100132791
,Flujo de caja libre por accion,-0.058427342790126215,0.3336180427622397,1.4247628447661351,1.2056059312993388,0.8120631931366395,1.2359508143673823,1.562638580931264,2.4748680667743677,3.431806505115778,3.832312775444265,5.103822216521271,6.283799479598063,7.144351643149118
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,3.153473344103393,4.451741249326871,4.844456112008617,6.190989499192247,7.493585083467959,8.4318901453958
,,,,,,,,,13.607218237704915,9.638924995132687,8.857547474448804,6.931040668959068,5.7262311059450415,5.089013170247579
,,,,,,,,,42.91,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,701,834,897,1203,1454,1628
,,,,,,,,,3.774905761981691,4.491114701130856,4.830371567043619,6.4781906300484655,7.8298330640818525,8.766828217555197
,,,,,,,,,11.367171184022823,9.554420863309351,8.8833745819398,6.623763092269326,5.480321182943603,4.894586609336608
,,,,,,,,,42.91,42.91,42.91,42.91,42.91,42.91
,,,,,,,,,,,,,,
,,,,,,,,,30.19924609585353,35.92891760904685,38.64297253634895,51.825525040387724,62.63866451265482,70.13462574044158


==================================================
PÁGINA: 3.RETORNOS CAPITAL
==================================================
,,,,,,,,,,,,,,,,,,,,
,CellImage,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,,,,,,
,"Retornos capital (millones ,excepto EPS)",,,,,,,,,,,,,,,,,,,
,EBIT,40.6,59.400000000000006,219.12,240.65000000000003,151.57,198,237.73000000000002,486.3,710.50735,763.68373,990.6265791000001,1205.4817500469999,1348.09191005499,CRECIMIENTO,0.17,,,,
,Interest,3.112,4.429,2.106,1.3679999999999999,-4.154,-21.3,-33.1,-22.3,0,1.5,1.5,1.5,1.5,,,,,,
,Tasas,7.300000000000001,12.9,18.9,38.625,22.8,23.8,32.8,52.717,85.260882,91.46204759999999,118.695189492,144.47781000563998,161.5910292065988,,,,,,
,Net income,29.608,41.13100000000001,196.97400000000002,200.37700000000004,132.92399999999998,195.5,238.03000000000003,455.88300000000004,625.2464679999999,670.7216824,870.431389608,1059.5039400413598,1185.0008808483913,,,,,,
