,ROA (Net income/ Activo),0.1798374520153551,0.20507042607145548,0.2821085278801885,0.15584163853397728,0.20359894261463354,0.2513276387953082,0.2727057305722673,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,
,ROCE sin goodwill (EBIT / Capital empleado),0.8727259496434289,0.690923317683881,0.8105020456279037,0.38803088803088803,0.5468209039019369,0.6140149034462007,0.6896379525593008,0.622736317927647,0.4463380273700027,0.4463380273700027,0.4463380273700027,0.4463380273700027,0.44633802737000267,,,
,ROCE con goodwill( EBIT / Capital empleado),0.5191887270287235,0.49250783888084904,0.6081216425384686,0.3050011591392864,0.440423928403203,0.5191248653178498,0.5863786905199989,0.5463738246362319,0.40145419318627246,0.40145419318627246,0.40145419318627246,0.4014541931862724,0.4014541931862724,,Valor Óptimo (Líderes 2023),Empresas Quebradas (Ejemplos Software)
,Liquidity,,,,,,,,,,,,,,,,
,Liquidez (AC/PC),4.399455258088088,5.051064681930446,3.154293825408091,2.203396729075705,2.6709949937421777,2.9778842719371355,1.9784079225066291,#DIV/0!,,,,,,,"1.8 - 3.5
(Microsoft: 1.8, Adobe: 1.9)","< 1.0
(Quibi: 0.7 en 2020)"
,Tesoreria (AD+AR)/ PC,5.76210722115193,6.164875508978039,3.2150934468890466,2.204876785317842,3.5790050062578223,3.856143588522443,1.2026624817360247,#DIV/0!,,,,,,,"1.0 - 1.5
(Salesforce: 1.2, Oracle: 1.3)","< 0.5
(Theranos: 0.2 en 2018)"
,Disponibilidad (AD/PC),2.1179831262871187,2.0293705360122822,0.9440738112136267,0.6975135055132095,1.5326032540675845,1.5399452315751876,0,#DIV/0!,,,,,,,"0.6 - 1.2
(ServiceNow: 0.8, Intuit: 0.9)","< 0.3
(Cyanogen: 0.1 en 2016)"
,Test acido (AC-Inventarios)/PC,4.399455258088088,5.051064681930446,3.154293825408091,2.203396729075705,2.6709949937421777,2.9778842719371355,1.9784079225066291,#DIV/0!,,,,,,,"1.5 - 2.5
(Adobe: 1.9, Salesforce: 2.0)","< 0.6
(Jawbone: 0.3 en 2017)"
,Endeudamiento,,,,,,,,,,,,,,,,
,Endeudamiento (DT / Activo),0,0,0,0.053427880706628544,0.0800660212609364,0.10442159867272345,0.09489738155105909,#DIV/0!,,,,,,,"< 0.4
(Microsoft: 0.3, Adobe: 0.2)","> 0.7
(SunEdison: 0.85 en 2016)"
,Calidad de deuda (PC/DT),#DIV/0!,#DIV/0!,#DIV/0!,2.723571500554268,1.7383736741909166,1.1654756122944563,1.2817507109662205,0,,,,,,,"< 0.3
(ServiceNow: 0.25, Oracle: 0.28)","> 0.6
(Blue Apron: 0.8 en 2020)"
,Capacidad de devolucion (BN+D&A/DT),#DIV/0!,#DIV/0!,#DIV/0!,3.2133427390910008,2.734620614631493,2.70096440713245,2.8060969688562114,2.9356320134325267,,,,,,,"> 0.7
(Microsoft: 0.8, Adobe: 1.1)","< 0.2
(WeWork: 0.05 en 2023)"
,Gastos Financieros/Ventas,-0.011683664087585047,-0.005921014366311871,-0.004502709257264964,0.0010719584251644384,-0.005018457843471557,-0.0077993446848347425,-0.011953152255170695,0.007489997512700938,,,,,,,"< 5%
(Salesforce: 3%, Intuit: 4%)","> 20%
(Nortel: 28% en 2008)"
,Rotacion,,,,,,,,,,,,,,,,
,Activo (V/AT),0.5300578814779271,0.539587988651485,0.7115859214249941,0.6278516316959839,0.5874934131162819,0.5959015265129286,0.6603717697239373,#DIV/0!,,,,,,,"0.5 - 1.2
(Adobe: 1.1, Microsoft: 0.6)","< 0.3
(Pets.com: 0.2 en 2000)"
,Activo no Corriente (V/ANC),1.0528063617816563,1.027723979628434,1.190468499207559,0.9241626908018831,0.9351439781502585,0.9346169798135323,0.8696462470636166,#DIV/0!,,,,,,,"3.0 - 5.0
(ServiceNow: 4.2, Oracle: 3.8)","< 1.0
(Webvan: 0.6 en 2001)"
,Activo Corriente (V/AC),1.0675273688184221,1.136051275274217,1.7689526895268952,1.9582024887067793,1.5802963743923153,1.6442700784646909,2.7441943160370905,#DIV/0!,,,,,,,"2.0 - 4.0
(Intuit: 3.5, Salesforce: 2.8)","< 1.0
(Radioshack: 0.5 en 2014)"
,Plazos,,,,,,,,,,,,,,,,
