==================================================
PÁGINA: 1.INCOME STATEMENT
==================================================
,,,,,,,,,,,,,,,,
,CellImage,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,,
,"Income Statement (millons ,excepto EPS)",,,,,,,,,,,,,,,
,(+) Cash and cash equivalents,101,182,384,287,312,455,1333,1250,1281.25,1313.28125,1346.11328125,1379.76611328125,1414.2602661132812,,
,(+) Deuda financiera total ,34.4,157,414,370,355,712.67,1133,1127,1172,1216,1264,1318,1376,,
,(+) Deuda leases,17.7,18.9,39,46.5,45,99.93,401.9,379.4243561442237,227,210,193,178,163,,
,(+) Goodwill ,3.86,3.86,13.07,13.07,13.07,13.07,0,0,0,0,0,0,0,,
,(+) Equity,92,142,130,124.4,158,330,803.8,772.9,792.2225,812.0280624999999,832.3287640624999,853.1369831640624,874.465407743164,,
,Capital empleado con goodwill,43.10000000000001,135.9,199,253.89999999999998,246,687.6000000000001,1005.6999999999999,1029.3243561442237,909.9724999999999,924.7468125,943.2154828124999,969.3708698828123,999.205141629883,,
,Capital empleado sin goodwill,39.24000000000001,132.04,185.93,240.83,232.93,674.53,1005.6999999999999,1029.3243561442237,909.9725,924.7468124999999,943.2154828124999,969.3708698828124,999.2051416298827,,
,,,,,,,,,,,,,,,,
,ROE ( net income / equity ),0.11913043478260871,0.27014084507042246,0.0663076923076923,0.050209003215434096,0.09044303797468355,0.4691818181818182,0.07575267479472506,-0.04114374433950059,-0.008289716588458437,0.012612778391510331,0.10415563175645615,0.20726334099414595,0.2224148837340635,,
,ROCE sin goodwill (EBIT / Capital empleado),0.3710499490316003,0.37390184792487124,0.11009519711719463,0.08354440891915459,0.13428927145494354,0.2883933998487836,0.11583971363229592,0.045661019987964416,0.07027684902565735,0.09602628395110042,0.20715838910676815,0.3309155298206756,0.34722536686416905,,
,ROCE con goodwill( EBIT / Capital empleado),0.3378190255220417,0.3632818248712288,0.1028643216080402,0.07924379677038206,0.12715447154471546,0.2829115764979639,0.11583971363229592,0.045661019987964416,0.07027684902565737,0.09602628395110041,0.20715838910676815,0.3309155298206757,0.347225366864169,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Año,% ajustado,Deuda financiera (M€),Deuda leases (M€),Leases asociados Capex (M€),Total deuda Carrefour (M€),,,,,,,,,
,,2025,0.2857,143,143,12,298,,,,,,,,,
,,2026,0.2381,119,119,10,248,,,,,,,,,
,,2027,0.1905,95,95,8,198,,,,,,,,,
,,2028,0.1429,71,71,6,148,,,,,,,,,
,,2029,0.0952,48,48,4,100,,,,,,,,,
,,2030,0.0476,24,24,2,50,,,,,,,,,
,,Total,1,500,500,42,1042,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Año,Deuda financiera base,#ERROR!,Deuda financiera nueva,Deuda leases base,#ERROR!,Deuda leases nueva,Goodwill,Cash,Total deuda nueva,,,,,
,,2025,989,143,1132,101.5,143,244.5,13.1,1400,1376.5,,,,,
,,2026,1053,119,1172,108,119,227,14,1490,1399,,,,,
,,2027,1121,95,1216,115,95,210,15,1586,1426,,,,,
,,2028,1193,71,1264,122,71,193,16,1689,1457,,,,,
,,2029,1270,48,1318,130,48,178,17,1798,1496,,,,,
,,2030,1352,24,1376,139,24,163,18,1914,1539,,,,,


==================================================
PÁGINA: 4. VALORACIÓN
==================================================
2026-07-06,,,,,,,,,,,,,,,,,,
,CellImage,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,,,,
,"Valuation  ( millons ,except EPS )",,,,,,,,,,,,,,Cotización actual,,16.67,EUR
,Market cap,,,,,,,,683.47,680.0526500000001,676.6523867500001,673.26912481625,669.9027791921689,666.5532652962079,,,,
,Net DEBT  (-) si es caja neta ,-48.89999999999999,-6.100000000000001,69,129.5,88,357.59999999999997,201.89999999999998,256.4243561442237,117.75,112.71875,1000,1500,2000, Dividend yield ,,,
