==================================================
PÁGINA: 1.INCOME STATEMENT
==================================================
,,,,,,,,,,,,,,,,,,
,CellImage,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0.02358490566037736,,897.9012326450694
,Activo no Corriente (V/ANC),0.7829957243989626,0.7973726608005949,0.8499353866034891,0.969013154273763,1.0381920299545333,1.131961259079903,1.2252983109984563,#DIV/0!,,,,,,,"3.0 - 5.0
(ServiceNow: 4.2, Oracle: 3.8)","< 1.0
(Webvan: 0.6 en 2001)",,
,Activo Corriente (V/AC),1.719938414164742,1.5796710041738276,1.820855923405237,1.9570920409070698,1.7510826416456153,1.9146189458689458,2.0783297752504044,#DIV/0!,,,,,,,"2.0 - 4.0
(Intuit: 3.5, Salesforce: 2.8)","< 1.0
(Radioshack: 0.5 en 2014)",,
,Plazos,,,,,,,,,,,,,,,,,,
,Plazo de cobro (SC/VD),50.154417688658135,39.65418091389493,43.425403864428255,42.810689537657616,41.82389613066103,35.167635433620084,30.443025934772034,0,,,,,,,"< 60 días
(Adobe: 45 días, Microsoft: 50 días)","> 90 días
(Kodak: 120 días en 2011)",,
,Plazo de pago (SP/VD),6.828842538716319,8.679670500466273,7.214444092492873,7.857264568896967,5.904992529239013,6.127179725645199,5.03011984527911,0,,,,,,,"> 60 días
(Oracle: 75 días, Salesforce: 65 días)","< 30 días
(Zynga: 20 días en 2012)",,
,Financiacion de clientes con proveedores  (SP/SC),0.13615635179153093,0.21888412017167383,0.16613418530351437,0.18353510895883776,0.14118705035971224,0.17422779922779924,0.16523061327927013,#DIV/0!,,,,,,,1.0 - 2.0,< 0.5,,
,Crecimiento sostenible (SGR),,,,,,,,,,,,,,,,,,
,Modelo de Higgins,0.38473029439696105,0.4892189384800965,0.4232614719199838,0.4683652409081204,0.45005448601525605,0.6011343495214463,0.6977472317678503,#DIV/0!,,,,,,,,,,
,Margen Neto (M) (BN/Ventas),0.36265419389490644,0.5042741684799502,0.39676908457396265,0.37379302510507784,0.38301818743881705,0.39428039990699837,0.386252668512608,0.36296464886900737,"Competencia Canva & Figma, los margenes podrian contraerse.",,,,,,,,,
,Dividendos (D) (Dividendos/BN),0,0,0,0,0,0,0,0,,,,,,,,,,
,Apalancamiento (E) (Activo/Capital Propio),1.9716999050332384,1.8308202653799759,1.840981279989187,1.9333143548501885,1.8028211647899262,2.1432116270825947,2.343481257514107,0,Aumento de activos (inversiones en tecnología) sin crecimiento proporcional de fondos propios.,,,,,,,,,
,Rotacion de activos (R) (Ventas/Activos),0.5380502841730084,0.5298962279690331,0.5794574354832789,0.64811338118903,0.6517680244467577,0.711379424412835,0.7708416010603834,#DIV/0!,Un ratio >70% es inusual en empresas de software (activos suelen ser menos productivos).,,,,,,,,,
,Desviacion (SGR-Ventas),#VALUE!,-0.3373077398407625,-0.196575118174258,-0.35300255481372694,-0.34764621610727015,-0.4931432113896518,-0.59774723176785,#DIV/0!,,,,,,,,,,


==================================================
PÁGINA: 4. VALORACIÓN
==================================================
2026-07-06,,,,,,,,,,,,,,,,,
,CellImage,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,,,
,"Valuation  ( millons ,except EPS )",,,,,,,,,,,,,,Cotización actual,,218.07
