==================================================
PÁGINA: 1.INCOME STATEMENT
==================================================
,,,,,,,,,,,,,,,,,
,CellImage,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Net DEBT  (-) si es caja neta ,-63.89999999999998,-229.39999999999998,-60.69999999999993,-658.3,-1249.7,-1729.5,-2017.8000000000002,-2012.9,-1120.1640000000002,-487.37712000000056,67.43271039999945,867.4273272319992,1282.6215134105594,, Dividend yield ,,0.015,
,Deuda neta /EBITDA,-0.16936125099390398,-0.5688073394495413,0.3570588235294113,2.806052855924979,-2.157631215469613,-2.554652880354505,-2.7304465493910692,-2.6971727187458128,-1.3310322204990257,-0.5362265821774019,0.0686957805684098,0.8182175509578381,1.1202384002561858,,,,,
,Deuda neta/equity,-0.11057276345388473,-0.36177259107396303,-0.06295374403650687,-0.7342181574838277,-1.2348814229249012,-1.2274662881476224,-1.252513966480447,-0.9766618146530811,-0.5032454579761713,-0.2027400898121694,0.025972954689420506,0.3093570988097804,0.4235471373999172,,,,,
,Enterprise Value ( EV ),,,,,,,,,1623.7375000000002,2160.4878274999996,2622.6223847374995,3333.185362967687,3662.0780178954983,,,1.Recompra,360,
,EBITDA,377.3,403.29999999999995,-170.00000000000003,-234.59999999999997,579.2,677,739,746.3,841.57542,908.9014536000001,981.613569888,1060.14265547904,1144.9540679173633,,,2.Dividendos,43.8727602,
,EBIT,204.5,184.6,-336.1,-392.9,394,428.2,457,453.4,525.24342,567.2628936000001,612.6439250880001,661.6554390950402,714.5878742226433,,,,,
,Net income,143.4,119,-445,-519.6999999999999,308,386.49999999999994,431.6,405.4,468.932565,485.4471702000001,504.48294381600004,533.7415793212801,573.4409056669825,,,,403.8727602,
,FCF,-56.300000000000004,29.199999999999946,-381.8,-535.6999999999999,225.8,118.19999999999999,197.9,411.3999999999999,7.764564999999948,72.08573020000006,163.452588616,142.22879570528005,468.8070993617025,,,,,
,,,,,,,,,,,,,,,,,,,
,,3 YEARS,5 YEARS,,,,,,,,,,,,,,,,
,CAGR  by PER,0.149710363065361,0.13766070986388013,,,PER+caja,,,25.420182555780936,24.81224314054054,22.85218417297298,21.669647778614195,23.757956764400344,26.450836285601063,,Multiple PER,,7.4,
,CAGR  by  P/FCF,-0.985,-0.985,,,P/FCF +caja,,,10.20740365111562,6.054940540540541,2.7300216776361883,0,0,0,,Multiple P/FCF,,,
,CAGR by EV/EBITDA,0.11145853200246823,0.042469051395546895,,,EV/EBITDA,,,23.453093306288032,21.976637675675676,20.54912313457499,19.551200194501146,17.10149921257171,16.984021661617277,,Multiple EV/EBITDA,,3.5,
,CAGR  by EV/EBIT,-0.007967555284647002,-0.06412473953446331,,,EV/EBIT,,,19.404158215010142,17.411555027027028,15.440015092564071,13.833234717431926,10.702118160514967,9.822020069678123,,Multiple EV/EBIT,,4,
,,,,,,Free cashflow yield,,,0.1406567531167095,0.0028297535461823055,0.027224096254629713,0.06396886706987003,0.05768157039092622,0.1970227648532627,,,,,
,,,,,,FCF/EBITDA,,,0.5512528473804099,,,,,,,,,,
,,,,,,LTM P/E,,,6.749413711367124,,,,,,,,,,
,,,,,,NTM P/E,,,5.728051348221554,,,,,,,,,,


